temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions_Clear,conditions_Overcast,conditions_Partly_cloudy,conditions_Rain_overcast,conditions_Rain_partly_cloudy,conditions_Snow_overcast,conditions_Snow_rain_overcast,preciptype_no_precipitation,preciptype_rain,preciptype_rain_and_snow,preciptype_snow
47.6,41.1,43.9,87.12,0.0,0,0.0,2.78,16.8,203.0,1002.7,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
47.6,39.8,43.9,86.99,0.0,0,0.0,2.71,23.2,253.0,1003.4,100.0,7.1,0.0,0,0,1,0,0,0,0,0,1,0,0,0
42.9,36.6,40.5,91.15,0.035,100,0.0,2.65,11.6,281.0,1004.3,100.0,8.2,0.0,0,0,0,0,1,0,0,0,0,1,0,0
41.8,35.6,34.1,73.77,0.0,0,0.0,2.58,10.7,262.0,1004.5,91.3,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
38.9,31.6,33.2,79.67,0.0,0,0.0,2.51,11.8,235.0,1005.7,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
37.2,29.7,32.0,81.2,0.0,0,0.0,2.45,11.0,246.0,1006.5,100.0,9.9,0.7,0,0,1,0,0,0,0,0,1,0,0,0
37.7,28.7,29.7,72.73,0.0,0,0.0,2.38,15.4,301.0,1007.3,100.0,9.9,5.0,0,0,1,0,0,0,0,0,1,0,0,0
35.7,25.8,26.8,69.84,0.0,0,1.37,3.75,16.6,291.0,1009.3,100.0,9.9,13.0,0,0,1,0,0,0,0,0,1,0,0,0
33.0,22.4,24.0,68.93,0.0,0,0.0,3.7,16.6,300.0,1010.6,90.0,9.9,93.0,1,0,0,1,0,0,0,0,1,0,0,0
33.1,20.6,20.0,58.32,0.0,0,0.0,3.64,22.8,292.0,1011.4,89.1,9.9,225.0,2,0,0,1,0,0,0,0,1,0,0,0
34.0,22.6,19.3,54.67,0.0,0,0.0,3.58,20.0,292.0,1011.2,90.0,9.9,321.0,3,0,0,1,0,0,0,0,1,0,0,0
35.9,25.5,21.0,54.34,0.0,0,0.0,3.52,18.3,261.0,1010.6,89.1,9.9,338.0,3,0,0,1,0,0,0,0,1,0,0,0
34.0,23.8,20.2,56.62,0.0,0,0.0,3.47,16.1,271.0,1010.4,100.0,8.7,211.0,2,0,1,0,0,0,0,0,1,0,0,0
30.6,17.9,23.1,73.36,0.001,100,0.0,3.41,20.9,291.0,1011.2,100.0,6.3,147.0,1,0,0,0,0,0,0,1,0,0,1,0
29.8,18.4,22.7,74.7,0.0,0,0.0,3.35,15.9,292.0,1012.6,100.0,2.5,161.0,2,0,1,0,0,0,0,0,1,0,0,0
30.5,18.4,18.9,61.52,0.0,0,0.0,3.29,18.9,310.0,1013.5,89.1,9.8,232.0,2,0,0,1,0,0,0,0,1,0,0,0
27.9,13.3,11.9,50.45,0.0,0,0.0,3.24,24.7,292.0,1015.5,89.1,8.8,83.0,1,0,0,1,0,0,0,0,1,0,0,0
24.9,10.0,11.1,55.28,0.0,0,0.0,3.18,21.9,302.0,1017.6,89.1,9.9,22.0,0,0,0,1,0,0,0,0,1,0,0,0
22.9,7.2,10.0,57.34,0.0,0,0.0,3.12,22.4,300.0,1019.4,89.1,8.7,1.0,0,0,0,1,0,0,0,0,1,0,0,0
21.6,7.4,9.0,57.71,0.0,0,0.0,3.06,17.2,299.0,1020.4,90.0,8.2,0.0,0,0,0,1,0,0,0,0,1,0,0,0
20.0,4.3,10.7,66.78,0.0,0,0.0,3.0,19.9,292.0,1021.5,90.0,6.5,0.0,0,0,0,1,0,0,0,0,1,0,0,0
19.0,3.4,7.0,58.89,0.0,0,0.0,2.95,18.7,309.0,1022.4,89.1,9.8,0.0,0,0,0,1,0,0,0,0,1,0,0,0
17.9,0.7,3.8,53.51,0.0,0,0.0,2.89,22.1,301.0,1023.2,89.1,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
38.7,32.4,25.3,58.2,0.0,0,0.0,0.0,9.2,19.0,1018.6,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
37.8,31.3,25.2,60.04,0.0,0,0.0,0.0,9.2,27.0,1018.8,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
36.9,31.9,25.9,64.18,0.0,0,0.0,0.0,6.2,358.0,1019.1,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
35.0,26.3,25.0,66.62,0.0,0,0.0,0.0,12.5,332.0,1019.1,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
34.0,24.1,24.5,67.96,0.0,0,0.0,0.0,15.1,349.0,1018.1,99.1,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
31.9,21.5,18.0,56.24,0.0,0,0.0,0.0,14.7,330.0,1018.2,90.1,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
30.7,19.7,17.2,56.73,0.0,0,0.0,0.0,15.8,321.0,1018.3,80.1,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
30.7,21.7,18.0,58.82,0.0,0,0.0,0.0,10.9,330.0,1018.7,88.1,9.9,5.0,0,0,0,1,0,0,0,0,1,0,0,0
30.7,20.7,17.8,58.34,0.0,0,0.0,0.0,13.0,311.0,1019.1,89.1,9.9,41.0,0,0,0,1,0,0,0,0,1,0,0,0
31.9,23.0,16.2,51.88,0.0,0,0.0,0.0,11.1,302.0,1019.5,84.4,9.9,143.0,1,0,0,1,0,0,0,0,1,0,0,0
32.9,23.9,15.3,47.88,0.0,0,0.0,0.0,12.0,309.0,1019.9,89.1,9.9,493.0,5,0,0,1,0,0,0,0,1,0,0,0
34.0,25.8,16.2,47.55,0.0,0,0.0,0.0,10.9,300.0,1019.9,89.1,9.9,616.0,6,0,0,1,0,0,0,0,1,0,0,0
35.8,27.2,17.4,46.73,0.0,0,0.0,0.0,12.9,303.0,1019.9,90.0,9.9,493.0,5,0,0,1,0,0,0,0,1,0,0,0
34.8,25.5,18.7,51.36,0.0,0,0.0,0.0,14.0,275.0,1020.0,100.0,9.8,353.0,4,0,1,0,0,0,0,0,1,0,0,0
35.3,25.4,23.5,61.74,0.001,100,0.0,0.0,16.3,312.0,1020.1,100.0,3.7,230.0,2,0,0,0,0,0,0,1,0,0,1,0
33.1,22.7,25.6,73.65,0.005,100,0.0,0.0,15.8,322.0,1020.6,100.0,8.6,213.0,2,0,0,0,0,0,0,1,0,0,1,0
32.3,21.1,21.9,65.18,0.0,0,0.0,0.0,17.4,321.0,1020.9,99.0,3.8,171.0,2,0,1,0,0,0,0,0,1,0,0,0
34.0,23.6,16.3,48.02,0.0,0,0.0,0.0,16.4,322.0,1020.9,89.1,9.9,143.0,1,0,0,1,0,0,0,0,1,0,0,0
31.7,19.6,17.0,54.11,0.0,0,0.0,0.0,19.8,321.0,1022.1,89.1,9.9,129.0,1,0,0,1,0,0,0,0,1,0,0,0
29.7,17.9,14.0,51.56,0.0,0,0.0,0.0,17.2,320.0,1023.3,83.6,9.9,30.0,0,0,0,1,0,0,0,0,1,0,0,0
28.1,17.4,14.0,54.97,0.0,0,0.0,0.0,13.0,319.0,1024.0,90.0,9.9,18.0,0,0,0,1,0,0,0,0,1,0,0,0
