name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york state,2021-02-13,-6.8,-12.3,-9.1,-14.4,-18.9,-16.2,-13.5,70.5,0.029,100,20.83,snow,6.2,15.8,44.3,31.8,67.9,1026.5,94.6,14.4,82.2,7.2,4,,2021-02-13T07:14:50,2021-02-13T17:44:31,0.02,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71752099999,72528014733,KGVQ,KIAG,E5040,72528704724,KBUF,F3072"
new york state,2021-02-14,-4.5,-8.8,-6.8,-6.4,-14.6,-10.5,-10.5,75.4,0.309,100,8.33,snow,1.5,18.2,,15.4,247.2,1025.8,87,12.8,86.1,7.7,4,,2021-02-14T07:13:27,2021-02-14T17:45:50,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-15,-2.4,-8.6,-5.4,-2.4,-12.3,-8.2,-8.7,77.7,3.703,100,41.67,snow,5.7,19.7,,29,38.5,1023.2,96.3,10.4,65.6,5.6,4,,2021-02-15T07:12:02,2021-02-15T17:47:08,0.07,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-16,-4,-11.2,-6.4,-9.6,-18.9,-13.7,-9.5,79.1,9.524,100,50,snow,4,26.4,51.8,35,338.7,1009.2,90,7.2,31.4,2.7,1,,2021-02-16T07:10:36,2021-02-16T17:48:27,0.1,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-17,-5.1,-14.4,-9.1,-9.5,-20.2,-14,-14.3,67.1,0,0,0,,0.4,27.4,25.9,21.6,224.2,1029.5,60.1,15.8,124.8,10.8,7,,2021-02-17T07:09:10,2021-02-17T17:49:45,0.14,Partially cloudy,Partly cloudy throughout the day.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,F7692,KBUF,F3072"
new york state,2021-02-18,-3.3,-7.4,-5.3,-7.4,-13.2,-10.6,-10,69.6,0.27,100,12.5,snow,0.9,26.6,33.5,25.5,76.1,1028.1,96.2,13.9,88.3,7.7,4,,2021-02-18T07:07:42,2021-02-18T17:51:03,0.19,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,F7692,KBUF,F3072"
new york state,2021-02-19,-1.7,-5.8,-4.1,-4,-11.4,-8.2,-7.4,78.3,0.822,100,20.83,snow,0.5,27.5,31.7,22,254.8,1021.2,93.8,11,75,6.5,4,,2021-02-19T07:06:12,2021-02-19T17:52:21,0.24,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,F7692,KBUF,F3072"
new york state,2021-02-20,-3.4,-5.9,-4.8,-9.5,-12.2,-11,-8.5,75.4,0.27,100,4.17,snow,1.5,27.7,38.9,27.8,259.5,1024,88.3,12.3,117,10.2,6,,2021-02-20T07:04:42,2021-02-20T17:53:38,0.28,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-21,-1.3,-8.5,-4.8,-1.8,-14.3,-9.2,-10.5,65.8,0,0,0,,0.9,29.2,,23.2,215.8,1031.1,44,15.3,144.3,12.6,8,,2021-02-21T07:03:11,2021-02-21T17:54:55,0.33,Partially cloudy,Clearing in the afternoon.,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,F3072"
new york state,2021-02-22,2.7,-1.6,0.6,-2.4,-8.1,-5.5,-3.7,74.6,3.309,100,50,"rain,snow",0,28,68.4,43.3,211.1,1008.6,99.8,10.6,29,2.5,1,,2021-02-22T07:01:39,2021-02-22T17:56:12,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"71752099999,72528014733,KGVQ,KIAG,72528704724,F7692,KBUF,F3072"
